date,open,high,low,close
2020-02-06,27,32.1,25.6,29.96
2020-02-07,31.07,34.61,30.63,32.5
2020-02-10,33.63,34.51,29.11,29.79
2020-02-11,30.08,30.34,27.3,27.3
2020-02-12,28.35,29.62,27.26,28.18
2020-02-13,27.1,28.31,26.66,26.7
2020-02-14,26.76,27.8,26.85,27.9
2020-02-18,28.05,32.83,28,33.1
2020-02-19,32.77,37.35,32.34,36.28
2020-02-20,36.8,48.86,33.94,48.68
2020-02-21,53.86,55.36,45,51
2020-02-24,47,57.16,46,53.21
2020-02-25,56.4,56,44.21,44.44
2020-02-26,46.19,48.15,40.09,43.51
2020-02-27,39,53.51,39,44.34
2020-02-28,45.39,49.16,43.8,46.88
2020-03-02,50.35,51.73,44,45.34
2020-03-03,44.87,47.45,40.03,39.61
2020-03-04,43.99,44.75,39.77,45
2020-03-05,42.76,44.81,42.06,42.73
2020-03-06,40.6,44.46,39.7,44.86
2020-03-09,40.04,42.84,37.22,38.15
2020-03-10,39.91,39.89,33,36.48
2020-03-11,33.58,38.65,32.66,35.69
2020-03-12,40.22,44.18,37,37.85
2020-03-13,40.27,42.14,34.55,36.17
2020-03-16,33.61,32.6,30.96,30.86
2020-03-17,32.08,32.63,27.24,31.27
